CONVICTED_OF
Criminal sexual conduct fourth degree of a victim 13 to 15 years old
Assault
Aggravated Assault - Non-family-Weapon
Aggravated Assault - Weapon
Threat Terroristic State Offenses
Sex Assault
Homicide
Aggravated Assault - Gun
Stolen Property
Stolen Vehicle
Homicide-Willful Kill-Non-family-Weapon
Carrying Prohibited Weapon
Possession Stolen Vehicle
Possession Of Weapon
Rape
Amphetamine - Sell
Domestic Violence
Dangerous Drugs
Cocaine - Possession
Probation Violation
Burglary
Fraud
Probation violations
Receiving stolen property
Vehicle Theft
Receiving a stolen vehicle
Sexual abuse of a minor
Arrested for:Kidnapping
Rape With Weapon
Robbery
Kidnapping
Kidnap Adult To Sexually Assault
Larceny
Aggravated Assault - Police Officer-Strongarm
Robbery - Residence-Weapon
Burglary - Forced Entry-Residence
Neglect Child
Molestation of Minor
Battery
Sex Offense Against Child-Fondling
Firing Weapon
Aggravated Assault - Family-Gun
Weapon Offense
Aggravated Assault - Family-Weapon
Intimidation
False Imprisonment
Simple Assault
Cruelty Toward Child
Fraud - Impersonating
Rape - Disabled
"Illegal Re-Entry (INA SEC.101(a)(43)(O), 8USC1326 only) "
Sex Assault - Sodomy-Girl-Strongarm
Rape - Strongarm
Sex Offense - Disabled
Cocaine - Sell
Driving under the influence of alcohol
Soliciting for prostitution
Driving under the influence
Possession of methamphetamine
Theft
Neglect or endangerment of a child
Possession of burglary tools
Concealed weapon in a vehicle
Obstructing police
Aggravated assault with a firearm
Forgery
Fraud - Insufficient Funds Check
Fraud - Swindle
Arrested for:Illegal reentry
Resisting an officer
Trafficking a schedule I controlled substance
Importation of methamphetamine
Aggravated assault with a weapon
Felony burglary
Aggravated assault with a deadly weapon
Sexual exploitation of a child
Drug Trafficking
Burglary Tools - Possession
Obstruct Police
Damage Property
Amphetamine - Manufacturing
Amphetamine - Possession
Violation of a Court Order
Carrying Concealed Weapon
Flight To Avoid (prosecution
confinement
etc.)
Sex Offense
Harassing Communication
Possession Stolen Property
Money Laundering
Fraud - False Statement
Forgery Of Checks
Marijuana - Sell
Public Order Crimes
Aiding Prisoner Escape
Receive Stolen Property
Drug Possession
Counterfeiting
Sex Offender Registration Violation
Heroin - Sell
Illegal Entry (INA SEC.101(a)(43)(O)
8USC1325 only)
Marijuana - Possession
Cocaine
Marijuana - Smuggle
Procure For Prostitute (pimping)
Robbery - Street-Gun
Heroin - Possession
Unauthorized Use of Vehicle (includes joy riding)
Lewd or Lascivious Acts with Minor
Failure To Appear
Arrested for:Homicide
Racketeering
Attempted murder
Possession of a weapon
Arrested for:Disorderly Conduct
Obstruction
Possession of stolen property
Destroying evidence
Conspiracy to possess with intent to distribute heroin
Illegal reentry
Stealing a vehicle
Arrested for:Battery
Brandishing a replica firearm
Disturbing public peace
Willful and unlawful use of force or violence upon the person of another
Aggravated extortion
Human Slavery or Trafficking
Smuggling Aliens
Obstructing Justice
Sexual assault with a firearm
Assault with intent to commit sex abuse
Aggravated assault against a public officer
Hit and run – leaving the scene with serious bodily harm
Arrested for:Sexual battery
Child fondling
Arrested for:Quadruple homicide
Aggravated sexual assault of a child
Marijuana possession
Knowingly and unlawfully entering the United States
Attempting to import methamphetamine into the U.S.
Convicted of homicide
Conspiracy to commit homicide
Arrested for:Obstruction of justice
Engaging in a fistic encounter
Arrested for:Driving while intoxicated
Arrested for:Disturbing the peace
Urinating in public
Arrested for:Domestic abuse battery
Arrested for:Simple battery
Arrested for:Aggravated battery with a dangerous weapon
Armed robbery
Arrested for:Illegal entry
Driving while intoxicated and causing negligent injury
